scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,Active Inference,44,9331.000,26306866.666,81.8493,236,364
1,Active Inference,45,8845.000,26376238.361,80.8362,228,364
1,Active Inference,46,8388.000,26548026.991,80.4054,244,364
1,Active Inference,47,10032.000,26548787.838,78.1457,229,364
1,Active Inference,48,12161.000,27146929.381,83.6237,219,363
1,Active Inference,49,11707.000,27366478.092,81.1644,229,364
1,Active Inference,50,8668.000,26513968.992,81.6327,237,364
1,Active Inference,51,8628.000,26671117.014,80.4054,248,364
1,Active Inference,52,10862.000,26860702.635,81.6327,211,364
1,Active Inference,53,9971.000,26889130.306,76.9231,233,364
1,Active Inference,54,11316.000,27147662.943,80.9689,236,363
1,Active Inference,55,10699.000,26854613.928,80.3390,233,363
1,Active Inference,56,10873.000,26918213.123,80.9689,227,363
1,Active Inference,57,9740.000,26642188.070,82.8179,230,364
1,Active Inference,58,8995.000,26309673.154,82.6389,241,363
1,Active Inference,59,10568.000,26588809.885,79.0941,234,364
1,Active Inference,60,9246.000,26327776.123,82.9268,233,365
1,Active Inference,61,8689.000,26500228.118,80.0000,229,363
1,Active Inference,62,11156.000,26791153.102,81.8792,212,363
1,Active Inference,63,7986.000,26039710.191,81.8493,241,363
1,Active Inference,64,9968.000,26307707.010,80.4795,237,364
1,Active Inference,65,12018.000,27173735.336,81.8493,232,363
1,Active Inference,66,9854.000,26626155.352,83.3910,225,364
1,Active Inference,67,10679.000,26997308.296,78.1145,230,364
1,Active Inference,68,8800.000,26227529.328,76.7677,239,364
1,Active Inference,69,9733.000,26567245.813,81.5068,231,364
1,Active Inference,70,9137.000,26401053.060,80.7560,228,364
1,Active Inference,71,9728.000,26254986.021,82.2148,236,364
1,Active Inference,72,8536.000,26447672.436,79.3814,236,363
1,Active Inference,73,9502.000,26475826.218,80.5461,232,366
1,Active Inference,74,11007.000,26510483.087,78.5714,226,364
1,Active Inference,75,13043.000,27165444.997,79.2079,223,363
1,Active Inference,76,9210.000,26674242.666,80.1370,228,363
1,Active Inference,77,9792.000,26584475.974,78.9116,228,363
1,Active Inference,78,8720.000,26555175.953,79.9308,242,364
1,Active Inference,79,10627.000,26915839.215,81.0345,215,364
1,Active Inference,80,11659.000,26670850.185,79.8013,231,363
1,Active Inference,81,12767.000,26828208.869,78.7162,212,364
1,Active Inference,82,7756.000,26298013.665,79.4521,248,363
1,Active Inference,83,8693.000,26354855.087,80.8219,232,364
1,Active Inference,84,10829.000,26751887.056,83.0450,221,363
1,Active Inference,85,8987.000,26316398.822,81.2500,234,363
1,Active Inference,86,11970.000,27517838.842,81.6393,230,364
1,Active Inference,87,10113.000,26434628.299,82.8767,241,363
1,Active Inference,88,10165.000,26609905.046,77.0000,225,365
1,Active Inference,89,11349.000,26593976.836,78.3972,219,363
1,Active Inference,90,9487.000,26499023.685,84.6154,248,363
1,Active Inference,91,10901.000,26610154.577,80.3333,224,366
1,Active Inference,92,9787.000,26252064.907,84.2105,241,363
1,Active Inference,93,11009.000,26963600.073,79.3333,239,363
1,Active Inference,94,11544.000,26963452.479,81.2287,230,364
1,Active Inference,95,11343.000,26752035.164,79.3220,223,364
1,Active Inference,96,8940.000,26362493.640,79.7297,232,363
1,Active Inference,97,9304.000,26711617.624,79.5139,231,363
1,Active Inference,98,7622.000,26258549.798,81.8493,257,364
1,Active Inference,99,10333.000,26888354.995,77.9661,228,363
1,Active Inference,100,10104.000,26707242.811,80.2013,228,363
1,DQN,1,10555.000,27134197.947,89.5623,196,363
1,DQN,2,9844.000,26871453.192,91.0959,202,363
1,DQN,3,10952.000,27281482.563,90.4762,196,364
1,DQN,4,11506.000,27483468.887,90.2357,194,364
1,DQN,5,12308.000,27293187.174,91.4966,196,365
1,DQN,6,11717.000,27701839.618,90.6355,200,364
1,DQN,7,10019.000,26738993.539,91.7526,206,364
1,DQN,8,11229.000,26773441.490,90.8163,200,363
1,DQN,9,10797.000,26832153.758,90.6355,198,364
1,DQN,10,12067.000,27224615.936,91.5541,192,363
1,DQN,11,11220.000,27028742.236,90.8475,200,364
1,DQN,12,10693.000,26851857.609,90.8163,204,364
1,DQN,13,11916.000,27331509.416,90.4762,200,363
1,DQN,14,11673.000,27010241.924,91.5254,196,363
1,DQN,15,10948.000,27452994.564,90.8784,196,364
1,DQN,16,10991.000,27285806.725,89.4040,206,364
1,DQN,17,10252.000,27212999.465,90.5405,196,364
1,DQN,18,10307.000,26753218.559,90.1695,200,363
1,DQN,19,11074.000,26994294.459,90.8163,192,363
1,DQN,20,10714.000,26982922.427,90.4437,206,364
1,DQN,21,11575.000,27114620.853,90.2357,196,363
1,DQN,22,12134.000,27488639.309,91.0000,188,364
1,DQN,23,11023.000,27473012.516,90.1695,204,364
1,DQN,24,11371.000,27224702.261,90.1695,198,364
1,DQN,25,11604.000,27430187.861,89.9666,196,363
1,DQN,26,11333.000,27302910.270,89.6667,196,364
1,DQN,27,10355.000,27124611.805,89.6667,206,363
1,DQN,28,10772.000,27323726.815,90.4110,204,364
1,DQN,29,11487.000,27346623.922,89.7010,200,363
1,DQN,30,11446.000,27517437.815,90.5405,190,364
1,DQN,31,9351.000,26727931.808,91.4966,204,364
1,DQN,32,10623.000,27031583.318,92.0690,202,364
1,DQN,33,10856.000,26942599.031,90.1361,198,363
1,DQN,34,11123.000,27256185.879,89.4040,198,363
1,DQN,35,10398.000,27086559.003,91.2752,200,363
1,DQN,36,10684.000,27227731.453,89.5623,204,364
1,DQN,37,11041.000,27053801.580,91.2162,198,363
1,DQN,38,11266.000,27118577.676,91.8089,198,363
1,DQN,39,12140.000,27331412.131,90.8163,198,365
1,DQN,40,11922.000,27520853.759,90.9699,190,363
1,DQN,41,12182.000,27632113.123,89.7959,204,364
1,DQN,42,12139.000,27599801.987,90.7216,190,364
1,DQN,43,12056.000,27491861.679,90.2685,186,363
1,DQN,44,10834.000,26750035.136,89.2256,206,363
1,DQN,45,11351.000,27406443.871,91.1864,192,363
1,DQN,46,10627.000,27281045.047,91.0000,198,364
1,DQN,47,10235.000,26700898.938,91.1565,198,364
1,DQN,48,13214.000,27569965.251,90.5085,184,363
1,DQN,49,11030.000,27298979.428,90.7216,202,363
1,DQN,50,10539.000,26964876.246,91.1565,198,364
1,DQN,51,9878.000,26632706.856,90.5085,212,364
1,DQN,52,10481.000,27271577.051,90.4762,198,364
1,DQN,53,10644.000,26906134.406,90.8163,194,364
1,DQN,54,10535.000,26688064.857,91.8644,200,363
1,DQN,55,10765.000,27424501.158,92.8814,200,364
1,DQN,56,11417.000,27496854.782,90.4110,198,364
1,DQN,57,11830.000,27373825.803,89.5270,192,363
1,DQN,58,9353.000,26712824.176,91.4384,206,363
1,DQN,59,10934.000,27166213.050,90.2685,190,363
1,DQN,60,12996.000,27606201.381,91.2162,192,364
1,DQN,61,11511.000,27173336.490,90.4437,190,364
1,DQN,62,10879.000,26996753.756,91.0035,202,363
1,DQN,63,11442.000,27197741.044,92.1502,196,363
1,DQN,64,10395.000,27127336.383,90.6040,208,364
1,DQN,65,10960.000,27182287.499,90.5085,196,363
1,DQN,66,10678.000,27139019.130,89.0000,204,364
1,DQN,67,11131.000,26918117.004,91.7808,188,364
1,DQN,68,11487.000,27405169.322,89.9329,198,364
1,DQN,69,10685.000,27011534.229,88.8889,196,364
1,DQN,70,10301.000,26841380.047,90.1361,202,364
1,DQN,71,11286.000,27156843.497,90.1361,200,363
1,DQN,72,10397.000,27208956.861,92.1502,198,363
1,DQN,73,10603.000,27433029.945,89.6667,200,363
1,DQN,74,10166.000,26647051.294,89.2256,208,363
1,DQN,75,10171.000,27041596.879,90.4110,202,364
1,DQN,76,10347.000,26825470.663,89.1892,202,363
1,DQN,77,11789.000,27301990.691,88.5621,190,364
1,DQN,78,11211.000,27239178.419,91.4089,186,364
1,DQN,79,10852.000,27335235.894,90.1024,194,364
1,DQN,80,10785.000,26702795.635,88.4106,204,364
1,DQN,81,10721.000,27286373.049,90.5405,206,363
1,DQN,82,11060.000,27343692.100,91.5254,204,363
1,DQN,83,11410.000,27433879.959,90.9396,192,364
