scenario,controller,seed,ttime,North_CO2,East_CO2,vehicles_NS,vehicles_EW,observed_NS,observed_EW,bus_count_NS,bus_count_EW,phase,idle_time_NS,idle_time_EW
4,Active Inference,1,1750.0,28746.587461922692,70961.46509995949,6,8,4,6,1,1,0,3.0,0.0
4,Active Inference,1,1760.0,41617.596079843286,73111.29987969481,5,13,4,11,1,1,2,0.0,14.0
4,Active Inference,1,1770.0,28066.30584195962,79848.21431283338,7,10,3,8,1,0,0,0.0,0.0
4,Active Inference,1,1780.0,44041.63587772995,52522.67500466551,5,14,2,9,0,0,2,0.0,26.0
4,Active Inference,1,1790.0,51824.028623702536,38390.85639358528,8,8,6,6,1,0,0,8.0,0.0
4,Active Inference,1,1800.0,40088.313267976424,85632.40687815056,6,13,3,7,1,0,0,0.0,19.0
4,Active Inference,1,1810.0,9539.261794320484,38322.100882441606,3,16,2,11,0,0,2,0.0,79.0
4,Active Inference,1,1820.0,20314.94671049309,24533.871193138577,6,10,5,9,0,0,2,5.0,0.0
4,Active Inference,1,1830.0,42693.70823362599,12903.987725326107,8,6,4,5,0,0,2,35.0,0.0
4,Active Inference,1,1840.0,45287.45177988647,55948.75865750051,11,10,7,3,0,0,0,84.0,0.0
4,Active Inference,1,1850.0,27788.508570227088,99277.04841925247,4,15,1,9,0,1,0,0.0,16.0
4,Active Inference,1,1860.0,46410.889196225224,51922.83144871305,6,19,4,12,0,1,2,0.0,75.0
4,Active Inference,1,1870.0,47815.34343789329,71652.33199535278,8,11,2,6,0,0,0,9.0,0.0
4,Active Inference,1,1880.0,43537.1853591714,75861.47639955266,6,15,2,11,0,0,2,0.0,16.0
4,Active Inference,1,1890.0,42394.71745008438,33573.92899798243,7,11,5,10,0,0,2,9.0,0.0
4,Active Inference,1,1900.0,23334.42678990145,34162.85546298774,10,9,6,6,0,0,0,47.0,0.0
4,Active Inference,1,1910.0,11525.801999589363,35968.32240427118,5,13,4,9,0,0,2,0.0,11.0
4,Active Inference,1,1920.0,24879.737181341574,67602.39909926378,7,10,6,8,1,2,0,11.0,0.0
4,Active Inference,1,1930.0,63708.6211669186,110844.40695512731,6,15,0,9,2,2,2,0.0,7.0
4,Active Inference,1,1940.0,21799.002226906763,87003.88665668931,8,14,5,10,3,2,0,2.0,0.0
4,Active Inference,1,1950.0,52342.847111989984,89924.16195989949,7,19,4,8,1,3,2,0.0,31.0
4,Active Inference,1,1960.0,35698.909495730586,63054.207662529574,8,10,6,5,2,2,0,1.0,0.0
4,Active Inference,1,1970.0,42185.52665460412,76739.45175170703,4,14,3,10,1,2,2,0.0,18.0
4,Active Inference,1,1980.0,14629.648647567054,66687.9059977711,8,12,7,8,1,2,0,0.0,0.0
4,Active Inference,1,1990.0,12852.27175412266,47078.73535561754,4,17,3,11,0,2,2,0.0,36.0
4,Active Inference,1,2000.0,26733.383629838674,34928.55970166246,7,8,7,8,0,0,2,7.0,0.0
4,Active Inference,1,2010.0,59830.074113455834,97330.96664554921,12,13,11,10,1,1,2,37.0,4.0
4,Active Inference,1,2020.0,58851.531445827495,63762.65995325893,13,15,10,15,1,1,0,94.0,21.0
4,Active Inference,1,2030.0,29221.186255032193,57269.049965460916,6,19,6,15,0,2,2,0.0,65.0
4,Active Inference,1,2040.0,39823.02110386386,100494.23327185329,9,16,7,14,1,1,0,12.0,61.0
4,Active Inference,1,2050.0,48301.22628113683,87795.50203656475,8,23,6,15,2,2,2,0.0,125.0
4,Active Inference,1,2060.0,35202.81120053355,87152.3685807107,11,18,8,17,2,2,0,19.0,171.0
4,Active Inference,1,2070.0,30253.29657639373,94673.71953455333,5,23,4,15,1,2,2,0.0,255.0
4,Active Inference,1,2080.0,37885.35172265586,67377.54799494219,8,21,8,18,1,0,0,10.0,332.0
4,Active Inference,1,2090.0,21429.839330817245,109258.0497311292,6,27,6,23,0,0,2,0.0,459.0
4,Active Inference,1,2100.0,12562.726897039622,111475.1853383122,7,24,7,21,0,1,0,20.0,547.0
4,Active Inference,1,2110.0,29697.32908391746,104458.83901689338,6,31,6,25,0,2,2,0.0,681.0
4,Active Inference,1,2120.0,96958.6036485467,98236.25922148363,12,26,8,20,2,2,2,8.0,803.0
4,Active Inference,1,2130.0,53220.549142845135,81386.73503924496,13,26,8,23,2,1,0,42.0,951.0
4,Active Inference,1,2140.0,6937.211408405678,135701.2399684179,4,31,4,20,0,3,2,0.0,1122.0
4,Active Inference,1,2150.0,13609.042077052349,131412.32248066785,7,31,7,22,0,2,2,1.0,1281.0
